ZIP Code,County,county updated,Land Area (Sq. Meters),Land Area (Sq. Miles),Land Area (Sq. Kilometers)
6390,Suffolk County,Suffolk County,10556000,4,11
10001,New York County,New York County,1609400,1,2
10002,New York County,New York County,2277670,1,2
10003,New York County,New York County,1493000,1,1
10004,New York County,New York County,1449740,1,1
10005,New York County,New York County,190416,0,0
10006,New York County,New York County,237784,0,0
10007,New York County,New York County,423358,0,0
10009,New York County,New York County,1596980,1,2
10010,New York County,New York County,1011820,0,1
10011,New York County,New York County,1705240,1,2
10012,New York County,New York County,837301,0,1
10013,New York County,New York County,1430440,1,1
10014,New York County,New York County,1474950,1,1
10016,New York County,New York County,1378330,1,1
10017,New York County,New York County,829152,0,1
10018,New York County,New York County,833392,0,1
10019,New York County,New York County,1761260,1,2
10020,New York County,New York County,71560,0,0
10021,New York County,New York County,1002600,0,1
10022,New York County,New York County,1130200,0,1
10023,New York County,New York County,1270410,0,1
10024,New York County,New York County,2221830,1,2
10025,New York County,New York County,1946720,1,2
10026,New York County,New York County,860745,0,1
10027,New York County,New York County,2257090,1,2
10028,New York County,New York County,813698,0,1
10029,New York County,New York County,2136940,1,2
10030,New York County,New York County,722465,0,1
10031,New York County,New York County,1685540,1,2
10032,New York County,New York County,1702840,1,2
10033,New York County,New York County,1565760,1,2
10034,New York County,New York County,2917180,1,3
10035,New York County,New York County,3616220,1,4
10036,New York County,New York County,1148110,0,1
10037,New York County,New York County,683722,0,1
10038,New York County,New York County,770757,0,1
10039,New York County,New York County,1199360,0,1
10040,New York County,New York County,976162,0,1
10044,New York County,New York County,625938,0,1
10065,New York County,New York County,1000540,0,1
10069,New York County,New York County,269802,0,0
10075,New York County,New York County,477958,0,0
10103,New York County,New York County,24776,0,0
10110,New York County,New York County,26711,0,0
10111,New York County,New York County,9576,0,0
10112,New York County,New York County,15253,0,0
10115,New York County,New York County,6618,0,0
10119,New York County,New York County,42613,0,0
10128,New York County,New York County,1219020,0,1
10152,New York County,New York County,12423,0,0
10153,New York County,New York County,12281,0,0
10154,New York County,New York County,12382,0,0
10162,New York County,New York County,29442,0,0
10165,New York County,New York County,13058,0,0
10167,New York County,New York County,12396,0,0
10168,New York County,New York County,13211,0,0
10169,New York County,New York County,9924,0,0
10170,New York County,New York County,24921,0,0
10171,New York County,New York County,12470,0,0
10172,New York County,New York County,12415,0,0
10173,New York County,New York County,12297,0,0
10174,New York County,New York County,13224,0,0
10177,New York County,New York County,5421,0,0
10199,New York County,New York County,66729,0,0
10271,New York County,New York County,6779,0,0
10278,New York County,New York County,33630,0,0
10279,New York County,New York County,10805,0,0
10280,New York County,New York County,358650,0,0
10282,New York County,New York County,226578,0,0
10301,Richmond County,Richmond County,9476760,4,9
10302,Richmond County,Richmond County,3093430,1,3
10303,Richmond County,Richmond County,8125460,3,8
10304,Richmond County,Richmond County,10035700,4,10
10305,Richmond County,Richmond County,11012000,4,11
10306,Richmond County,Richmond County,19355200,7,19
10307,Richmond County,Richmond County,5082130,2,5
10308,Richmond County,Richmond County,5110510,2,5
10309,Richmond County,Richmond County,17402200,7,17
10310,Richmond County,Richmond County,4650150,2,5
10311,Richmond County,Richmond County,122886,0,0
10312,Richmond County,Richmond County,19887900,8,20
10314,Richmond County,Richmond County,35520700,14,36
10451,Bronx County,Bronx County,2628490,1,3
10452,Bronx County,Bronx County,2550150,1,3
10453,Bronx County,Bronx County,2372410,1,2
10454,Bronx County,Bronx County,2699700,1,3
10455,Bronx County,Bronx County,1844520,1,2
10456,Bronx County,Bronx County,2637790,1,3
10457,Bronx County,Bronx County,2748730,1,3
10458,Bronx County,Bronx County,2613250,1,3
10459,Bronx County,Bronx County,2115930,1,2
10460,Bronx County,Bronx County,3407080,1,3
10461,Bronx County,Bronx County,6215150,2,6
10462,Bronx County,Bronx County,3833090,1,4
10463,"Bronx County , New York County",Bronx County,3745410,1,4
10464,Bronx County,Bronx County,9070630,4,9
10465,Bronx County,Bronx County,8882830,3,9
10466,Bronx County,Bronx County,5227060,2,5
10467,Bronx County,Bronx County,6035760,2,6
10468,Bronx County,Bronx County,2784850,1,3
10469,Bronx County,Bronx County,6414680,2,6
10470,Bronx County,Bronx County,3689950,1,4
10471,Bronx County,Bronx County,6687170,3,7
10472,Bronx County,Bronx County,2720840,1,3
10473,Bronx County,Bronx County,5645600,2,6
10474,Bronx County,Bronx County,3970900,2,4
10475,Bronx County,Bronx County,4463110,2,4
10502,Westchester County,Westchester County,5491260,2,5
10503,Westchester County,Westchester County,38497,0,0
10504,Westchester County,Westchester County,42167000,16,42
10505,Westchester County,Westchester County,1689630,1,2
10506,Westchester County,Westchester County,42345200,16,42
10507,Westchester County,Westchester County,18925700,7,19
10509,"Putnam County , Westchester County",Putnam County,93497200,36,93
10510,Westchester County,Westchester County,25699200,10,26
10511,Westchester County,Westchester County,3796930,1,4
10512,Putnam County,Putnam County,141306000,55,141
10514,Westchester County,Westchester County,33207900,13,33
10516,Putnam County,Putnam County,81618000,32,82
10520,Westchester County,Westchester County,35632000,14,36
10522,Westchester County,Westchester County,6291700,2,6
10523,Westchester County,Westchester County,9347440,4,9
10526,Westchester County,Westchester County,8528950,3,9
10528,Westchester County,Westchester County,9910760,4,10
10530,Westchester County,Westchester County,9913590,4,10
10532,Westchester County,Westchester County,4834530,2,5
10533,Westchester County,Westchester County,9207500,4,9
10535,Westchester County,Westchester County,1169780,0,1
10536,Westchester County,Westchester County,66377300,26,66
10538,Westchester County,Westchester County,9309980,4,9
10541,"Putnam County , Westchester County",Putnam County,64465300,25,64
10543,Westchester County,Westchester County,10581300,4,11
10547,Westchester County,Westchester County,13120800,5,13
10548,Westchester County,Westchester County,6067790,2,6
10549,Westchester County,Westchester County,49697600,19,50
