Location ID,Decade,Location,precipitation_avg
NY-001,1901,Albany County,36.386
NY-001,1911,Albany County,36.291
NY-001,1921,Albany County,35.372
NY-001,1931,Albany County,37.828
NY-001,1941,Albany County,36.094
NY-001,1951,Albany County,39.186
NY-001,1961,Albany County,32.452
NY-001,1971,Albany County,41.661
NY-001,1981,Albany County,38.561
NY-001,1991,Albany County,39.186
NY-001,2001,Albany County,43.855
NY-001,2011,Albany County,41.772
NY-003,1901,Allegany County,38.046
NY-003,1911,Allegany County,37.893
NY-003,1921,Allegany County,36.283
NY-003,1931,Allegany County,34.117
NY-003,1941,Allegany County,37.879
NY-003,1951,Allegany County,35.89
NY-003,1961,Allegany County,34.602
NY-003,1971,Allegany County,38.69
NY-003,1981,Allegany County,38.195
NY-003,1991,Allegany County,38.072
NY-003,2001,Allegany County,41.266
NY-003,2011,Allegany County,41.516
NY-005,1901,Bronx County,43.907
NY-005,1911,Bronx County,45.225
NY-005,1921,Bronx County,42.806
NY-005,1931,Bronx County,44.937
NY-005,1941,Bronx County,44.384
NY-005,1951,Bronx County,47.052
NY-005,1961,Bronx County,39.167
NY-005,1971,Bronx County,50.48
NY-005,1981,Bronx County,48.089
NY-005,1991,Bronx County,44.587
NY-005,2001,Bronx County,48.625
NY-005,2011,Bronx County,47.93
NY-007,1901,Broome County,36.577
NY-007,1911,Broome County,38.631
NY-007,1921,Broome County,38.483
NY-007,1931,Broome County,37.622
NY-007,1941,Broome County,40.619
NY-007,1951,Broome County,39.531
NY-007,1961,Broome County,35.463
NY-007,1971,Broome County,42.007
NY-007,1981,Broome County,39.208
NY-007,1991,Broome County,40.492
NY-007,2001,Broome County,44.049
NY-007,2011,Broome County,46.789
NY-009,1901,Cattaraugus County,42.591
NY-009,1911,Cattaraugus County,42.768
NY-009,1921,Cattaraugus County,42.009
NY-009,1931,Cattaraugus County,39.515
NY-009,1941,Cattaraugus County,43.947
NY-009,1951,Cattaraugus County,42.206
NY-009,1961,Cattaraugus County,40.762
NY-009,1971,Cattaraugus County,44.509
NY-009,1981,Cattaraugus County,44.141
NY-009,1991,Cattaraugus County,43.285
NY-009,2001,Cattaraugus County,44.953
NY-009,2011,Cattaraugus County,47.734
NY-011,1901,Cayuga County,37.214
NY-011,1911,Cayuga County,35.888
NY-011,1921,Cayuga County,35.789
NY-011,1931,Cayuga County,34.322
NY-011,1941,Cayuga County,37.513
NY-011,1951,Cayuga County,35.826
NY-011,1961,Cayuga County,34.272
NY-011,1971,Cayuga County,41.109
NY-011,1981,Cayuga County,38.464
NY-011,1991,Cayuga County,39.125
NY-011,2001,Cayuga County,41.935
NY-011,2011,Cayuga County,42.946
NY-013,1901,Chautauqua County,41.558
NY-013,1911,Chautauqua County,42.204
NY-013,1921,Chautauqua County,41.642
NY-013,1931,Chautauqua County,38.536
NY-013,1941,Chautauqua County,43.232
NY-013,1951,Chautauqua County,41.941
NY-013,1961,Chautauqua County,41.706
NY-013,1971,Chautauqua County,45.135
NY-013,1981,Chautauqua County,46.413
NY-013,1991,Chautauqua County,43.619
NY-013,2001,Chautauqua County,44.534
NY-013,2011,Chautauqua County,47.082
NY-015,1901,Chemung County,34.538
NY-015,1911,Chemung County,34.653
NY-015,1921,Chemung County,31.977
NY-015,1931,Chemung County,34.603
NY-015,1941,Chemung County,36.35
NY-015,1951,Chemung County,34.387
NY-015,1961,Chemung County,31.771
NY-015,1971,Chemung County,37.138
NY-015,1981,Chemung County,35.041
NY-015,1991,Chemung County,36.086
NY-015,2001,Chemung County,38.279
NY-015,2011,Chemung County,38.168
NY-017,1901,Chenango County,40.178
NY-017,1911,Chenango County,41.241
NY-017,1921,Chenango County,39.983
NY-017,1931,Chenango County,39.836
NY-017,1941,Chenango County,43.054
NY-017,1951,Chenango County,41.25
NY-017,1961,Chenango County,37.698
NY-017,1971,Chenango County,43.975
NY-017,1981,Chenango County,40.518
NY-017,1991,Chenango County,42.095
NY-017,2001,Chenango County,46.812
NY-017,2011,Chenango County,48.237
NY-019,1901,Clinton County,32.876
NY-019,1911,Clinton County,33.617
NY-019,1921,Clinton County,33.531
NY-019,1931,Clinton County,34.389
NY-019,1941,Clinton County,34.399
NY-019,1951,Clinton County,33.443
NY-019,1961,Clinton County,31.546
NY-019,1971,Clinton County,37.584
NY-019,1981,Clinton County,35.766
NY-019,1991,Clinton County,37.338
NY-019,2001,Clinton County,40.351
NY-019,2011,Clinton County,38.666
NY-021,1901,Columbia County,40.169
NY-021,1911,Columbia County,38.946
NY-021,1921,Columbia County,38.74
NY-021,1931,Columbia County,41.271
NY-021,1941,Columbia County,39.878
NY-021,1951,Columbia County,42.433
NY-021,1961,Columbia County,34.813
NY-021,1971,Columbia County,44.794
NY-021,1981,Columbia County,41.841
NY-021,1991,Columbia County,42.167
NY-021,2001,Columbia County,45.442
NY-021,2011,Columbia County,42.564
NY-023,1901,Cortland County,40.168
NY-023,1911,Cortland County,40.582
NY-023,1921,Cortland County,40.41
NY-023,1931,Cortland County,39.058
NY-023,1941,Cortland County,43.658
NY-023,1951,Cortland County,41.06
NY-023,1961,Cortland County,39.001
NY-023,1971,Cortland County,43.734
NY-023,1981,Cortland County,40.911
NY-023,1991,Cortland County,41.782
NY-023,2001,Cortland County,45.281
NY-023,2011,Cortland County,45.823
NY-025,1901,Delaware County,40.304
NY-025,1911,Delaware County,42.89
NY-025,1921,Delaware County,42.913
NY-025,1931,Delaware County,43.228
NY-025,1941,Delaware County,42.62
NY-025,1951,Delaware County,43.939
NY-025,1961,Delaware County,37.319
NY-025,1971,Delaware County,46.951
NY-025,1981,Delaware County,42.192
NY-025,1991,Delaware County,43.642
NY-025,2001,Delaware County,48.803
NY-025,2011,Delaware County,48.406
NY-027,1901,Dutchess County,46.075
NY-027,1911,Dutchess County,42.89
NY-027,1921,Dutchess County,41.197
NY-027,1931,Dutchess County,44.2
NY-027,1941,Dutchess County,41.326
NY-027,1951,Dutchess County,45.678
NY-027,1961,Dutchess County,36.705
NY-027,1971,Dutchess County,47.702
NY-027,1981,Dutchess County,44.721
NY-027,1991,Dutchess County,45.275
NY-027,2001,Dutchess County,47.429
NY-027,2011,Dutchess County,43.807
NY-029,1901,Erie County,37.595
NY-029,1911,Erie County,35.77
NY-029,1921,Erie County,36.387
NY-029,1931,Erie County,35.15
NY-029,1941,Erie County,38.326
NY-029,1951,Erie County,39.159
NY-029,1961,Erie County,36.961
NY-029,1971,Erie County,41.97
NY-029,1981,Erie County,40.781
NY-029,1991,Erie County,40.42
NY-029,2001,Erie County,41.394
NY-029,2011,Erie County,42.998
NY-031,1901,Essex County,38.694
NY-031,1911,Essex County,40.715
NY-031,1921,Essex County,38.865
NY-031,1931,Essex County,41.103
NY-031,1941,Essex County,40.948
NY-031,1951,Essex County,41.562
NY-031,1961,Essex County,37.054
NY-031,1971,Essex County,44.617
NY-031,1981,Essex County,43.526
NY-031,1991,Essex County,42.297
NY-031,2001,Essex County,46.102
NY-031,2011,Essex County,47.173
NY-033,1901,Franklin County,36.212
NY-033,1911,Franklin County,38.905
NY-033,1921,Franklin County,39.057
NY-033,1931,Franklin County,37.907
NY-033,1941,Franklin County,38.386
NY-033,1951,Franklin County,38.051
NY-033,1961,Franklin County,36.251
NY-033,1971,Franklin County,42.269
NY-033,1981,Franklin County,41.059
NY-033,1991,Franklin County,41.765
NY-033,2001,Franklin County,43.322
NY-033,2011,Franklin County,43.642
NY-035,1901,Fulton County,45.637
NY-035,1911,Fulton County,44.441
NY-035,1921,Fulton County,45.788
NY-035,1931,Fulton County,45.649
NY-035,1941,Fulton County,45.908
NY-035,1951,Fulton County,45.353
NY-035,1961,Fulton County,40.475
NY-035,1971,Fulton County,49.049
NY-035,1981,Fulton County,47.215
NY-035,1991,Fulton County,46.181
NY-035,2001,Fulton County,50.182
NY-035,2011,Fulton County,49.684
NY-037,1901,Genesee County,34.814
NY-037,1911,Genesee County,32.279
NY-037,1921,Genesee County,32.928
NY-037,1931,Genesee County,31.324
NY-037,1941,Genesee County,33.58
NY-037,1951,Genesee County,33.335
NY-037,1961,Genesee County,32.192
NY-037,1971,Genesee County,37.365
NY-037,1981,Genesee County,35.661
NY-037,1991,Genesee County,36.203
NY-037,2001,Genesee County,36.482
NY-037,2011,Genesee County,38.04
NY-039,1901,Greene County,41.302
NY-039,1911,Greene County,41.879
NY-039,1921,Greene County,42.454
NY-039,1931,Greene County,44.02
NY-039,1941,Greene County,41.745
NY-039,1951,Greene County,45.104
NY-039,1961,Greene County,36.566
NY-039,1971,Greene County,47.931
NY-039,1981,Greene County,42.997
NY-039,1991,Greene County,44.286
NY-039,2001,Greene County,48.158
NY-039,2011,Greene County,45.831
NY-041,1901,Hamilton County,45.466
NY-041,1911,Hamilton County,45.671
NY-041,1921,Hamilton County,47.399
NY-041,1931,Hamilton County,46.549
NY-041,1941,Hamilton County,47.843
NY-041,1951,Hamilton County,46.742
NY-041,1961,Hamilton County,41.852
NY-041,1971,Hamilton County,50.66
NY-041,1981,Hamilton County,48.466
NY-041,1991,Hamilton County,47.353
NY-041,2001,Hamilton County,48.938
NY-041,2011,Hamilton County,51.837
NY-043,1901,Herkimer County,46.702
NY-043,1911,Herkimer County,45.126
NY-043,1921,Herkimer County,47.679
NY-043,1931,Herkimer County,46.095
NY-043,1941,Herkimer County,48.414
NY-043,1951,Herkimer County,46.336
NY-043,1961,Herkimer County,42.6
NY-043,1971,Herkimer County,50.429
NY-043,1981,Herkimer County,47.738
NY-043,1991,Herkimer County,47.354
NY-043,2001,Herkimer County,49.086
NY-043,2011,Herkimer County,50.889
NY-045,1901,Jefferson County,38.802
NY-045,1911,Jefferson County,37.94
NY-045,1921,Jefferson County,38.237
NY-045,1931,Jefferson County,35.405
NY-045,1941,Jefferson County,39.329
NY-045,1951,Jefferson County,37.434
NY-045,1961,Jefferson County,35.714
NY-045,1971,Jefferson County,43.122
NY-045,1981,Jefferson County,40.314
NY-045,1991,Jefferson County,41.391
NY-045,2001,Jefferson County,42.763
NY-045,2011,Jefferson County,43.141
NY-047,1901,Kings County,44.387
NY-047,1911,Kings County,44.883
NY-047,1921,Kings County,42.218
NY-047,1931,Kings County,43.13
NY-047,1941,Kings County,43.395
NY-047,1951,Kings County,46.137
NY-047,1961,Kings County,39.543
NY-047,1971,Kings County,49.882
NY-047,1981,Kings County,46.925
NY-047,1991,Kings County,44.084
NY-047,2001,Kings County,48.317
NY-047,2011,Kings County,48.199
NY-049,1901,Lewis County,45.107
NY-049,1911,Lewis County,43.337
NY-049,1921,Lewis County,46.019
NY-049,1931,Lewis County,42.112
NY-049,1941,Lewis County,45.82
NY-049,1951,Lewis County,44.798
NY-049,1961,Lewis County,42.211
NY-049,1971,Lewis County,50.255
NY-049,1981,Lewis County,47.18
NY-049,1991,Lewis County,45.963
NY-049,2001,Lewis County,48.899
NY-049,2011,Lewis County,48.296
NY-051,1901,Livingston County,32.481
NY-051,1911,Livingston County,31.15
NY-051,1921,Livingston County,30.72
NY-051,1931,Livingston County,30.646
NY-051,1941,Livingston County,33.772
NY-051,1951,Livingston County,31.699
NY-051,1961,Livingston County,30.255
NY-051,1971,Livingston County,34.898
NY-051,1981,Livingston County,34.145
NY-051,1991,Livingston County,33.935
NY-051,2001,Livingston County,35.831
NY-051,2011,Livingston County,36.919
NY-053,1901,Madison County,41.605
NY-053,1911,Madison County,40.503
NY-053,1921,Madison County,38.999
NY-053,1931,Madison County,37.964
NY-053,1941,Madison County,41.725
NY-053,1951,Madison County,39.772
NY-053,1961,Madison County,37.458
NY-053,1971,Madison County,44.214
NY-053,1981,Madison County,40.247
NY-053,1991,Madison County,41.041
NY-053,2001,Madison County,46.634
NY-053,2011,Madison County,46.54
NY-055,1901,Monroe County,33.44
NY-055,1911,Monroe County,30.786
NY-055,1921,Monroe County,31.387
NY-055,1931,Monroe County,29.616
NY-055,1941,Monroe County,33.7
NY-055,1951,Monroe County,30.754
NY-055,1961,Monroe County,29.252
NY-055,1971,Monroe County,33.386
NY-055,1981,Monroe County,32.928
NY-055,1991,Monroe County,33.533
NY-055,2001,Monroe County,34.381
NY-055,2011,Monroe County,35.944
NY-057,1901,Montgomery County,39.413
NY-057,1911,Montgomery County,38.927
NY-057,1921,Montgomery County,37.923
NY-057,1931,Montgomery County,38.308
NY-057,1941,Montgomery County,38.35
NY-057,1951,Montgomery County,38.591
NY-057,1961,Montgomery County,33.645
NY-057,1971,Montgomery County,41.616
NY-057,1981,Montgomery County,39.425
NY-057,1991,Montgomery County,39.1
NY-057,2001,Montgomery County,44.281
NY-057,2011,Montgomery County,42.778
NY-059,1901,Nassau County,43.189
NY-059,1911,Nassau County,45.501
NY-059,1921,Nassau County,42.683
NY-059,1931,Nassau County,44.141
NY-059,1941,Nassau County,44.262
NY-059,1951,Nassau County,46.082
NY-059,1961,Nassau County,38.127
NY-059,1971,Nassau County,49.336
NY-059,1981,Nassau County,48.145
NY-059,1991,Nassau County,44.112
NY-059,2001,Nassau County,47.308
NY-059,2011,Nassau County,45.394
NY-061,1901,New York County,44.323
NY-061,1911,New York County,44.825
NY-061,1921,New York County,42.632
NY-061,1931,New York County,44.132
NY-061,1941,New York County,43.571
NY-061,1951,New York County,46.768
NY-061,1961,New York County,39.358
NY-061,1971,New York County,50.641
NY-061,1981,New York County,48.062
NY-061,1991,New York County,44.53
NY-061,2001,New York County,48.783
NY-061,2011,New York County,48.338
NY-063,1901,Niagara County,31.306
NY-063,1911,Niagara County,29.679
NY-063,1921,Niagara County,31.064
NY-063,1931,Niagara County,29.555
NY-063,1941,Niagara County,31.531
NY-063,1951,Niagara County,32.314
NY-063,1961,Niagara County,31.143
NY-063,1971,Niagara County,35.751
NY-063,1981,Niagara County,35.291
