ZIPCODE,County,low_precipitation_to_wwtp,mod_precipitation_to_wwtp,heavy_precipitation_to_wwtp,ida_precipitation_to_wwtp,wastewater_treat_plant,Flow_annual_avg_MGD,Capacity_MGD
10001,New York County,0.539950216,1.619850649,5.399502165,16.19850649,NEWTOWN CREEK,196,310
10001,New York County,0,0,0,0,NORTH RIVER,105.6666667,170
10002,New York County,1.52830671,4.58492013,15.2830671,45.8492013,NEWTOWN CREEK,196,310
10003,New York County,0.400718615,1.202155844,4.007186147,12.02155844,NEWTOWN CREEK,196,310
10003,New York County,0.100179654,0.300538961,1.001796537,3.00538961,NORTH RIVER,105.6666667,170
10004,New York County,0.972769264,2.918307792,9.727692641,29.18307792,NEWTOWN CREEK,196,310
10005,New York County,0.127768312,0.383304935,1.277683117,3.833049351,NEWTOWN CREEK,196,310
10006,New York County,0.159552035,0.478656104,1.595520346,4.786561039,NEWTOWN CREEK,196,310
10007,New York County,0.284071385,0.852214156,2.840713853,8.522141558,NEWTOWN CREEK,196,310
10009,New York County,1.071566667,3.2147,10.71566667,32.147,NEWTOWN CREEK,196,310
10010,New York County,0.33946342,1.01839026,3.394634199,10.1839026,NEWTOWN CREEK,196,310
10010,New York County,0,0,0,0,NORTH RIVER,105.6666667,170
10011,New York County,0.057210433,0.171631299,0.572104329,1.716312987,NEWTOWN CREEK,196,310
10011,New York County,0.514893896,1.544681688,5.148938961,15.44681688,NORTH RIVER,105.6666667,170
10012,New York County,0.561825346,1.685476039,5.618253463,16.85476039,NEWTOWN CREEK,196,310
10013,New York County,0.959819048,2.879457143,9.598190476,28.79457143,NEWTOWN CREEK,196,310
10014,New York County,0.296905519,0.890716558,2.969055195,8.907165584,NEWTOWN CREEK,196,310
10014,New York County,0.197937013,0.593811039,1.97937013,5.93811039,NORTH RIVER,105.6666667,170
10016,New York County,0.462426732,1.387280195,4.624267316,13.87280195,NEWTOWN CREEK,196,310
10016,New York County,0,0,0,0,NORTH RIVER,105.6666667,170
10017,New York County,0.278178701,0.834536104,2.781787013,8.345361039,NEWTOWN CREEK,196,310
10017,New York County,0,0,0,0,NORTH RIVER,105.6666667,170
10018,New York County,0.279601212,0.838803636,2.796012121,8.388036364,NEWTOWN CREEK,196,310
10018,New York County,0,0,0,0,NORTH RIVER,105.6666667,170
10019,New York County,0.590898918,1.772696753,5.908989177,17.72696753,NEWTOWN CREEK,196,310
10019,New York County,0,0,0,0,NORTH RIVER,105.6666667,170
10020,New York County,0.024008225,0.072024675,0.240082251,0.720246753,NEWTOWN CREEK,196,310
10020,New York County,0,0,0,0,NORTH RIVER,105.6666667,170
10021,New York County,0.33637013,1.00911039,3.363701299,10.0911039,NEWTOWN CREEK,196,310
10021,New York County,0,0,0,0,WARDS ISLAND,194.25,275
10022,New York County,0.758359307,2.275077922,7.583593074,22.75077922,NEWTOWN CREEK,196,310
10023,New York County,0,0,0,0,NEWTOWN CREEK,196,310
10023,New York County,0.426219805,1.278659416,4.262198052,12.78659416,NORTH RIVER,105.6666667,170
10024,New York County,1.490838312,4.472514935,14.90838312,44.72514935,NORTH RIVER,105.6666667,170
10025,New York County,0.653120346,1.959361039,6.531203463,19.59361039,NORTH RIVER,105.6666667,170
10025,New York County,0,0,0,0,WARDS ISLAND,194.25,275
10026,New York County,0.057755617,0.173266851,0.577556169,1.732668506,NORTH RIVER,105.6666667,170
10026,New York County,0.216583563,0.64975069,2.165835633,6.497506899,WARDS ISLAND,194.25,275
10027,New York County,0.567936607,1.703809821,5.679366071,17.03809821,NORTH RIVER,105.6666667,170
10027,New York County,0.227174643,0.681523929,2.271746429,6.815239286,WARDS ISLAND,194.25,275
10028,New York County,0.545987835,1.637963506,5.459878355,16.37963506,WARDS ISLAND,194.25,275
10029,New York County,1.433877489,4.301632468,14.33877489,43.01632468,WARDS ISLAND,194.25,275
10030,New York County,0.181789083,0.545367248,1.817890828,5.453672484,NORTH RIVER,105.6666667,170
10030,New York County,0.218146899,0.654440698,2.181468994,6.544406981,WARDS ISLAND,194.25,275
10031,New York County,0.452396017,1.357188052,4.523960173,13.57188052,NORTH RIVER,105.6666667,170
10031,New York County,0.141373755,0.424121266,1.413737554,4.241212662,WARDS ISLAND,194.25,275
10032,New York County,0.399909394,1.199728182,3.999093939,11.99728182,NORTH RIVER,105.6666667,170
10032,New York County,0.17138974,0.514169221,1.713897403,5.141692208,WARDS ISLAND,194.25,275
10033,New York County,0.315185455,0.945556364,3.151854545,9.455563636,NORTH RIVER,105.6666667,170
10033,New York County,0.210123636,0.630370909,2.101236364,6.303709091,WARDS ISLAND,194.25,275
10034,New York County,1.370190606,4.110571818,13.70190606,41.10571818,NORTH RIVER,105.6666667,170
10035,New York County,1.213233983,3.639701948,12.13233983,36.39701948,WARDS ISLAND,194.25,275
10036,New York County,0.38518842,1.15556526,3.851884199,11.5556526,NEWTOWN CREEK,196,310
10036,New York County,0.38518842,1.15556526,3.851884199,11.5556526,NORTH RIVER,105.6666667,170
10037,New York County,0.458774502,1.376323506,4.587745022,13.76323506,WARDS ISLAND,194.25,275
10038,New York County,0.51717461,1.551523831,5.171746104,15.51523831,NEWTOWN CREEK,196,310
10039,New York County,0.563335758,1.690007273,5.633357576,16.90007273,WARDS ISLAND,194.25,275
10040,New York County,0.196500143,0.589500429,1.965001429,5.895004286,NORTH RIVER,105.6666667,170
10040,New York County,0.032750024,0.098250071,0.327500238,0.982500714,WARDS ISLAND,194.25,275
10065,New York County,0.335679004,1.007037013,3.356790043,10.07037013,NEWTOWN CREEK,196,310
10065,New York County,0,0,0,0,WARDS ISLAND,194.25,275
10069,New York County,0.181035974,0.543107922,1.81035974,5.431079221,NORTH RIVER,105.6666667,170
10075,New York County,0.320707749,0.962123247,3.207077489,9.621232468,WARDS ISLAND,194.25,275
10103,New York County,0.008312294,0.024936883,0.083122944,0.249368831,NEWTOWN CREEK,196,310
10103,New York County,0.008312294,0.024936883,0.083122944,0.249368831,NORTH RIVER,105.6666667,170
10110,New York County,0.008961483,0.026884448,0.089614827,0.268844481,NEWTOWN CREEK,196,310
10110,New York County,0.008961483,0.026884448,0.089614827,0.268844481,NORTH RIVER,105.6666667,170
