Date,Reservoirs,Watershed,Storage (BG),Capacity (BG),Outflow (BGD),Outflow (MGD),
02/01/2019,Ashokan,Catskill/Delaware,114.71,122.9,0.619,619.0,
02/02/2019,Ashokan,Catskill/Delaware,113.98,122.9,0.619,619.0,
02/03/2019,Ashokan,Catskill/Delaware,113.22,122.9,0.598,598.0,
02/04/2019,Ashokan,Catskill/Delaware,112.48,122.9,0.586,586.0,
02/05/2019,Ashokan,Catskill/Delaware,111.95,122.9,0.584,584.0,
02/06/2019,Ashokan,Catskill/Delaware,111.78,122.9,0.583,583.0,
02/07/2019,Ashokan,Catskill/Delaware,111.94,122.9,0.443,443.0,
02/08/2019,Ashokan,Catskill/Delaware,112.68,122.9,0.412,412.0,
02/09/2019,Ashokan,Catskill/Delaware,112.85,122.9,0.412,412.0,
02/10/2019,Ashokan,Catskill/Delaware,112.79,122.9,0.412,412.0,
02/11/2019,Ashokan,Catskill/Delaware,112.77,122.9,0.409,409.0,
02/12/2019,Ashokan,Catskill/Delaware,112.94,122.9,0.409,409.0,
02/13/2019,Ashokan,Catskill/Delaware,112.68,122.9,0.408,408.0,
02/14/2019,Ashokan,Catskill/Delaware,112.16,122.9,0.407,407.0,
02/15/2019,Ashokan,Catskill/Delaware,111.89,122.9,0.405,405.0,
02/16/2019,Ashokan,Catskill/Delaware,111.54,122.9,0.251,251.0,
02/17/2019,Ashokan,Catskill/Delaware,111.24,122.9,0.198,198.0,
02/18/2019,Ashokan,Catskill/Delaware,110.88,122.9,0.202,202.0,
02/19/2019,Ashokan,Catskill/Delaware,110.53,122.9,0.202,202.0,
02/20/2019,Ashokan,Catskill/Delaware,110.31,122.9,0.122,122.0,
02/21/2019,Ashokan,Catskill/Delaware,110.07,122.9,0.096,96.0,
02/22/2019,Ashokan,Catskill/Delaware,109.82,122.9,0.058,58.0,
02/23/2019,Ashokan,Catskill/Delaware,109.63,122.9,0.046,46.0,
02/24/2019,Ashokan,Catskill/Delaware,109.61,122.9,0.048,48.0,
02/25/2019,Ashokan,Catskill/Delaware,109.42,122.9,0.048,48.0,
02/26/2019,Ashokan,Catskill/Delaware,109.21,122.9,0.047,47.0,
02/27/2019,Ashokan,Catskill/Delaware,109.03,122.9,0.047,47.0,
02/28/2019,Ashokan,Catskill/Delaware,108.77,122.9,0.043,43.0,
03/01/2019,Ashokan,Catskill/Delaware,108.54,122.9,0.031,31.0,
03/02/2019,Ashokan,Catskill/Delaware,108.3,122.9,0.014,14.0,
03/03/2019,Ashokan,Catskill/Delaware,108.11,122.9,0.012,12.0,
03/04/2019,Ashokan,Catskill/Delaware,107.79,122.9,0.012,12.0,
03/05/2019,Ashokan,Catskill/Delaware,107.38,122.9,0.012,12.0,
03/06/2019,Ashokan,Catskill/Delaware,106.95,122.9,0.011,11.0,
03/07/2019,Ashokan,Catskill/Delaware,106.53,122.9,0.01,10.0,
03/08/2019,Ashokan,Catskill/Delaware,106.11,122.9,0.011,11.0,
03/09/2019,Ashokan,Catskill/Delaware,105.77,122.9,0.011,11.0,
03/10/2019,Ashokan,Catskill/Delaware,105.35,122.9,0.012,12.0,
03/11/2019,Ashokan,Catskill/Delaware,104.92,122.9,0.015,15.0,
03/12/2019,Ashokan,Catskill/Delaware,104.5,122.9,0.012,12.0,
03/13/2019,Ashokan,Catskill/Delaware,104.19,122.9,0.012,12.0,
03/14/2019,Ashokan,Catskill/Delaware,103.98,122.9,0.013,13.0,
03/15/2019,Ashokan,Catskill/Delaware,104.29,122.9,0.013,13.0,
03/16/2019,Ashokan,Catskill/Delaware,104.46,122.9,0.011,11.0,
03/17/2019,Ashokan,Catskill/Delaware,104.49,122.9,0.011,11.0,
03/18/2019,Ashokan,Catskill/Delaware,104.47,122.9,0.01,10.0,
03/19/2019,Ashokan,Catskill/Delaware,104.4,122.9,0.014,14.0,
03/20/2019,Ashokan,Catskill/Delaware,104.35,122.9,0.014,14.0,
03/21/2019,Ashokan,Catskill/Delaware,104.76,122.9,0.014,14.0,
03/22/2019,Ashokan,Catskill/Delaware,105.41,122.9,0.015,15.0,
03/23/2019,Ashokan,Catskill/Delaware,105.67,122.9,0.015,15.0,
03/24/2019,Ashokan,Catskill/Delaware,105.86,122.9,0.014,14.0,
03/25/2019,Ashokan,Catskill/Delaware,106.13,122.9,0.013,13.0,
03/26/2019,Ashokan,Catskill/Delaware,106.33,122.9,0.012,12.0,
03/27/2019,Ashokan,Catskill/Delaware,106.4,122.9,0.012,12.0,
03/28/2019,Ashokan,Catskill/Delaware,106.46,122.9,0.012,12.0,
03/29/2019,Ashokan,Catskill/Delaware,106.56,122.9,0.012,12.0,
03/30/2019,Ashokan,Catskill/Delaware,107.01,122.9,0.012,12.0,
03/31/2019,Ashokan,Catskill/Delaware,107.72,122.9,0.012,12.0,
04/01/2019,Ashokan,Catskill/Delaware,108.29,122.9,0.012,12.0,
04/02/2019,Ashokan,Catskill/Delaware,108.81,122.9,0.011,11.0,
04/03/2019,Ashokan,Catskill/Delaware,109.2,122.9,0.012,12.0,
04/04/2019,Ashokan,Catskill/Delaware,109.6,122.9,0.012,12.0,
04/05/2019,Ashokan,Catskill/Delaware,110.06,122.9,0.011,11.0,
04/06/2019,Ashokan,Catskill/Delaware,110.47,122.9,0.011,11.0,
04/07/2019,Ashokan,Catskill/Delaware,110.95,122.9,0.011,11.0,
04/08/2019,Ashokan,Catskill/Delaware,111.54,122.9,0.01,10.0,
04/09/2019,Ashokan,Catskill/Delaware,112.36,122.9,0.01,10.0,
04/10/2019,Ashokan,Catskill/Delaware,113,122.9,0.01,10.0,
04/11/2019,Ashokan,Catskill/Delaware,113.53,122.9,0.009,9.0,
04/12/2019,Ashokan,Catskill/Delaware,114.26,122.9,0.009,9.0,
04/13/2019,Ashokan,Catskill/Delaware,115.05,122.9,0.009,9.0,
04/14/2019,Ashokan,Catskill/Delaware,116.49,122.9,0.008,8.0,
04/15/2019,Ashokan,Catskill/Delaware,118.79,122.9,0.008,8.0,
04/16/2019,Ashokan,Catskill/Delaware,119.86,122.9,0.008,8.0,
04/17/2019,Ashokan,Catskill/Delaware,120.43,122.9,0.191,191.0,
04/18/2019,Ashokan,Catskill/Delaware,120.69,122.9,0.298,298.0,
04/19/2019,Ashokan,Catskill/Delaware,120.97,122.9,0.445,445.0,
04/20/2019,Ashokan,Catskill/Delaware,122.87,122.9,0.584,584.0,
04/21/2019,Ashokan,Catskill/Delaware,123.53,122.9,0.623,623.0,
04/22/2019,Ashokan,Catskill/Delaware,123.79,122.9,0.623,623.0,
04/23/2019,Ashokan,Catskill/Delaware,123.81,122.9,0.601,601.0,
04/24/2019,Ashokan,Catskill/Delaware,123.61,122.9,0.605,605.0,
04/25/2019,Ashokan,Catskill/Delaware,123.36,122.9,0.605,605.0,
04/26/2019,Ashokan,Catskill/Delaware,123.57,122.9,0.609,609.0,
04/27/2019,Ashokan,Catskill/Delaware,123.57,122.9,0.609,609.0,
04/28/2019,Ashokan,Catskill/Delaware,123.45,122.9,0.611,611.0,
04/29/2019,Ashokan,Catskill/Delaware,123.25,122.9,0.611,611.0,
04/30/2019,Ashokan,Catskill/Delaware,123,122.9,0.606,606.0,
05/01/2019,Ashokan,Catskill/Delaware,123.01,122.9,0.595,595.0,
05/02/2019,Ashokan,Catskill/Delaware,123.23,122.9,0.311,311.0,
05/03/2019,Ashokan,Catskill/Delaware,123.63,122.9,0.034,34.0,
05/04/2019,Ashokan,Catskill/Delaware,123.95,122.9,0.015,15.0,
05/05/2019,Ashokan,Catskill/Delaware,124.36,122.9,0.016,16.0,
05/06/2019,Ashokan,Catskill/Delaware,124.56,122.9,0.016,16.0,
05/07/2019,Ashokan,Catskill/Delaware,124.68,122.9,0.015,15.0,
05/08/2019,Ashokan,Catskill/Delaware,124.67,122.9,0.015,15.0,
05/09/2019,Ashokan,Catskill/Delaware,124.58,122.9,0.015,15.0,
05/10/2019,Ashokan,Catskill/Delaware,124.56,122.9,0.017,17.0,
05/11/2019,Ashokan,Catskill/Delaware,124.51,122.9,0.017,17.0,
05/12/2019,Ashokan,Catskill/Delaware,124.96,122.9,0.017,17.0,
05/13/2019,Ashokan,Catskill/Delaware,125.43,122.9,0.017,17.0,
05/14/2019,Ashokan,Catskill/Delaware,125.51,122.9,0.017,17.0,
05/15/2019,Ashokan,Catskill/Delaware,125.36,122.9,0.019,19.0,
05/16/2019,Ashokan,Catskill/Delaware,125.06,122.9,0.019,19.0,
05/17/2019,Ashokan,Catskill/Delaware,124.84,122.9,0.021,21.0,
05/18/2019,Ashokan,Catskill/Delaware,124.67,122.9,0.021,21.0,
05/19/2019,Ashokan,Catskill/Delaware,124.6,122.9,0.021,21.0,
05/20/2019,Ashokan,Catskill/Delaware,124.49,122.9,0.021,21.0,
