Date,Water Treatment Plants,Capacity (BG),Inflow (BGD),Outflow (BGD),
02/01/2019,Catskill/Delaware Treatment Plant,2.24,2.21,1.583,
02/02/2019,Catskill/Delaware Treatment Plant,2.24,2.24,1.583,
02/03/2019,Catskill/Delaware Treatment Plant,2.24,2.22,1.583,
02/04/2019,Catskill/Delaware Treatment Plant,2.24,2.20,1.583,
02/05/2019,Catskill/Delaware Treatment Plant,2.24,2.19,1.583,
02/06/2019,Catskill/Delaware Treatment Plant,2.24,2.18,1.583,
02/07/2019,Catskill/Delaware Treatment Plant,2.24,2.01,1.583,
02/08/2019,Catskill/Delaware Treatment Plant,2.24,1.97,1.583,
02/09/2019,Catskill/Delaware Treatment Plant,2.24,1.97,1.583,
02/10/2019,Catskill/Delaware Treatment Plant,2.24,1.97,1.583,
02/11/2019,Catskill/Delaware Treatment Plant,2.24,1.96,1.583,
02/12/2019,Catskill/Delaware Treatment Plant,2.24,1.96,1.583,
02/13/2019,Catskill/Delaware Treatment Plant,2.24,1.96,1.583,
02/14/2019,Catskill/Delaware Treatment Plant,2.24,1.97,1.583,
02/15/2019,Catskill/Delaware Treatment Plant,2.24,1.98,1.583,
02/16/2019,Catskill/Delaware Treatment Plant,2.24,1.84,1.583,
02/17/2019,Catskill/Delaware Treatment Plant,2.24,1.81,1.583,
02/18/2019,Catskill/Delaware Treatment Plant,2.24,1.82,1.583,
02/19/2019,Catskill/Delaware Treatment Plant,2.24,1.82,1.583,
02/20/2019,Catskill/Delaware Treatment Plant,2.24,1.74,1.583,
02/21/2019,Catskill/Delaware Treatment Plant,2.24,1.73,1.583,
02/22/2019,Catskill/Delaware Treatment Plant,2.24,1.69,1.583,
02/23/2019,Catskill/Delaware Treatment Plant,2.24,1.68,1.583,
02/24/2019,Catskill/Delaware Treatment Plant,2.24,1.69,1.583,
02/25/2019,Catskill/Delaware Treatment Plant,2.24,1.69,1.583,
02/26/2019,Catskill/Delaware Treatment Plant,2.24,1.69,1.583,
02/27/2019,Catskill/Delaware Treatment Plant,2.24,1.68,1.583,
02/28/2019,Catskill/Delaware Treatment Plant,2.24,1.69,1.583,
03/01/2019,Catskill/Delaware Treatment Plant,2.24,1.61,1.583,
03/02/2019,Catskill/Delaware Treatment Plant,2.24,1.41,1.583,
03/03/2019,Catskill/Delaware Treatment Plant,2.24,1.26,1.583,
03/04/2019,Catskill/Delaware Treatment Plant,2.24,1.27,1.583,
03/05/2019,Catskill/Delaware Treatment Plant,2.24,1.06,1.583,
03/06/2019,Catskill/Delaware Treatment Plant,2.24,0.99,1.583,
03/07/2019,Catskill/Delaware Treatment Plant,2.24,0.98,1.583,
03/08/2019,Catskill/Delaware Treatment Plant,2.24,0.98,1.583,
03/09/2019,Catskill/Delaware Treatment Plant,2.24,0.94,1.583,
03/10/2019,Catskill/Delaware Treatment Plant,2.24,0.98,1.583,
03/11/2019,Catskill/Delaware Treatment Plant,2.24,0.99,1.583,
03/12/2019,Catskill/Delaware Treatment Plant,2.24,0.93,1.583,
03/13/2019,Catskill/Delaware Treatment Plant,2.24,0.79,1.583,
03/14/2019,Catskill/Delaware Treatment Plant,2.24,0.79,1.583,
03/15/2019,Catskill/Delaware Treatment Plant,2.24,0.70,1.583,
03/16/2019,Catskill/Delaware Treatment Plant,2.24,0.57,1.583,
03/17/2019,Catskill/Delaware Treatment Plant,2.24,0.51,1.583,
03/18/2019,Catskill/Delaware Treatment Plant,2.24,0.41,1.583,
03/19/2019,Catskill/Delaware Treatment Plant,2.24,0.34,1.583,
03/20/2019,Catskill/Delaware Treatment Plant,2.24,0.34,1.583,
03/21/2019,Catskill/Delaware Treatment Plant,2.24,0.35,1.583,
03/22/2019,Catskill/Delaware Treatment Plant,2.24,0.35,1.583,
03/23/2019,Catskill/Delaware Treatment Plant,2.24,0.33,1.583,
03/24/2019,Catskill/Delaware Treatment Plant,2.24,0.33,1.583,
03/25/2019,Catskill/Delaware Treatment Plant,2.24,0.45,1.583,
03/26/2019,Catskill/Delaware Treatment Plant,2.24,0.40,1.583,
03/27/2019,Catskill/Delaware Treatment Plant,2.24,0.33,1.583,
03/28/2019,Catskill/Delaware Treatment Plant,2.24,0.33,1.583,
